serving_size_raw_mintel,serving_size_raw_walmart,serving_size_raw_exact_match,name_mintel,name_walmart,name_exact_match,calories_mintel,calories_walmart,calories_exact_match,saturatedfat_mintel,saturatedfat_walmart,saturatedfat_exact_match,sodium_mintel,sodium_walmart,sodium_exact_match,upc_code,total_match_count
113 g,nan,False,Plant-Based Burgers,Lightlife Plant-Based Burger,False,260.0,,False,2.0,,False,0.54,,False,4345400103.0,0
15 ml,15 ml,True,Red Wine Vinegar,Maille Red Wine Vinegar,False,0.0,3.0,False,,,False,0.0,,False,4364623069.0,0
15 ml,nan,False,White Wine Vinegar,Maille White Wine Vinegar,False,0.0,,False,,,False,0.0,,False,4364623070.0,0
128 g,nan,False,Turkey Bacon Club,STOUFFERS Bistro Crustini Turkey Bacon Club,False,310.0,,False,6.0,,False,0.54,,False,4369506032.0,0
156 g,nan,False,Cake Batter Strawberry Royale,Cake Batter Strawberry Royal,False,250.0,,False,7.0,,False,0.125,,False,4427608032.0,0
156 g,nan,False,Vanilla Fudge Duet,Vanilla Fudge Duet,True,290.0,,False,7.0,,False,0.16,,False,4427608033.0,1
0.8 g,0.8 g,True,Calorie Free Sweetener,SweetN Low Sweetener 100 Packets,False,0.0,0.0,True,,,False,0.03,0.03,True,4480029745.0,3
57 g,nan,False,Raspberry Fig Bar,Natures Bakery Raspberry Fig bar,False,200.0,,False,0.0,,False,0.08,,False,4749521024.0,0
3.4 g,nan,False,Chicken Bouillon Powder,Knorr Selects Chicken Bouillon Powder,False,5.0,,False,,,False,0.65,,False,4800100698.0,0
250 ml,nan,False,100% Pure and Natural Orange Juice with No Pulp,Tropicana Pure Premium Orange Juice No Pulp,False,110.0,,False,,,False,,,False,4850000914.0,0
250 ml,250 ml,True,100% Pure and Natural Orange Juice with No Pulp,"Tropicana 100% Orange Juice - No Pulp, 2.63L Bottle",False,110.0,110.0,True,,,False,,,False,4850001835.0,1
250 ml,250 ml,True,100% Pure and Natural Orange Juice with Some Pulp,"Tropicana 100% Orange Juice - Some Pulp, 2.63L Bottle",False,110.0,110.0,True,,,False,,,False,4850001836.0,1
355 ml,355 ml,True,Unsweetened Medium Roast Iced Coffee,Starbucks Iced Coffee Medium Roast Unsweetened 1.42L,False,15.0,15.0,True,,,False,,,False,4850020329.0,1
250 ml,250 ml,True,100% Pure and Natural Orange Juice with Lots of Pulp,"Tropicana Orange Juice - Lots of Pulp, 1.54 L Bottle",False,110.0,110.0,True,0.0,0.0,True,0.0,0.0,True,4850020355.0,3
355 ml,355 ml,True,Hibiscus Lemonade Brewed Herbal Ice Tea,"Pure Leaf Lemonade Hibiscus Herbal Iced Tea, 1.75 L Bottle",False,100.0,100.0,True,,,False,0.0,0.0,True,4850020369.0,2
355 ml,nan,False,Unsweetened Blonde Roast Iced Coffee,Starbucks Iced Coffee Light Roast Blonde 1.42L,False,10.0,,False,,,False,,,False,4850020370.0,0
2 g,3 g,False,Less Fat Lactose Free Coffee Enhancer,Nestlé Coffee-Mate Light Coffee Whitener Powder,False,10.0,15.0,False,0.0,0.4,False,,0.005,False,5000017360.0,0
2 g,3 g,False,Original Lactose Free Coffee Enhancer,Nestlé Coffee-Mate Original Coffee Whitener,False,10.0,15.0,False,0.0,1.0,False,,0.005,False,5000017394.0,0
2 g,2 g,True,Original Lactose Free Coffee Enhancer,COFFEE-MATE Original Powder,False,10.0,10.0,True,0.0,0.5,False,,,False,5000036158.0,1
15 g,nan,False,Creamy Raw Almond Butter,"Maranatha Almond Butter, Raw",False,90.0,,False,0.0,,False,0.0,,False,5165109306.0,0
15 g,nan,False,No Stir Creamy Almond Butter,"Maranatha Almond Butter, Roasted Creamy, No Stir",False,100.0,,False,1.0,,False,0.03,,False,5165109345.0,0
15 ml,15 ml,True,Ice Coffee Syrup,"NESCAFÉ Sweet & Creamy, Ice Java",False,40.0,40.0,True,,,False,,,False,5500010162.0,1
16 g,nan,False,50% Less Sugar Lemon Iced Tea Mix,NESTEA Lemon Iced Tea Mix,False,60.0,,False,0.0,,False,0.001,,False,5500013111.0,0
,nan,False,Dark Instant and Roast & Ground Coffee,NESCAFÉ GOLD Dark Roast Instant and Roast & Ground Coffee,False,,,False,,,False,,,False,5500037775.0,0
15 ml,None None,False,Vanilla Flavoured Almond Coffee Enhancer,COFFEE-MATE BLISS Almond Vanilla Coffee Enhancer,False,30.0,30.0,True,0.0,0.5,False,0.02,0.03,False,5500037805.0,1
72 ml,nan,False,Strawberry Cheesecake Ice Cream Bars,HÄAGEN-DAZS exträaz Strawberry Cheesecake Ice Cream Bars Multipack,False,230.0,,False,10.0,,False,0.03,,False,5500038239.0,0
72 ml,nan,False,Frozen Dessert Bars,CHRISTIE OREO Frozen Dessert Bars 5-Pack,False,180.0,,False,7.0,,False,0.05,,False,5500038245.0,0
72 ml,72 ml,True,Frozen Dessert Bars Filled with Chips Ahoy! Pieces,CHRISTIE CHIPS AHOY! Frozen Dessert Bars 5-Pack,False,180.0,180.0,True,7.0,7.0,True,0.045,0.045,True,5500038246.0,3
15 ml,15 ml,True,Caramel Flavoured Almond Coffee Enhancer,COFFEE-MATE BLISS Almond Caramel,False,30.0,30.0,True,0.0,0.5,False,0.02,,False,5500038292.0,1
125 ml,125 ml,True,Salted Caramel Burst Ice Cream,KITKAT Salted Caramel Burst Ice Cream,False,230.0,230.0,True,8.0,8.0,True,0.135,0.135,True,5500038379.0,3
125 ml,125 ml,True,Matcha Green Tea Ice Cream,KITKAT Matcha Green Tea Ice Cream,False,220.0,220.0,True,8.0,8.0,True,0.065,0.065,True,5500038380.0,3
125 ml,125 ml,True,Espresso Explosion Ice Cream,KITKAT Espresso Explosion Ice Cream 500 ml Tub,False,230.0,230.0,True,7.0,7.0,True,0.06,0.06,True,5500038381.0,3
120 ml,None None,False,Caramel Non-Dairy Frozen Dessert Cones,NESTLÉ DRUMSTICK Non-Dairy Caramel 4-Pack,False,230.0,230.0,True,8.0,8.0,True,0.08,0.08,True,5500038383.0,3
120 ml,None None,False,Vanilla Chocolate Swirl Non-Dairy Frozen Dessert Cones,NESTLÉ DRUMSTICK Non-Dairy Vanilla-Chocolate Swirl 4-Pack,False,220.0,220.0,True,8.0,8.0,True,0.06,0.06,True,5500038384.0,3
72 ml,None None,False,Salted Caramel Brownie Ice Cream Bars,HÄAGEN-DAZS exträaz Salted Caramel Brownie Ice Cream Bars Multipack,False,260.0,260.0,True,10.0,10.0,True,0.105,0.105,True,5500038390.0,3
125 ml,125 ml,True,Salted Caramel Brownie Ice Cream,HÄAGEN-DAZS exträaz Salted Caramel Brownie Ice Cream,False,300.0,300.0,True,10.0,10.0,True,0.15,0.15,True,5500038392.0,3
14 g,14 g,True,Toffee Nut Latte Flavoured Coffee Mix,NESCAFÉ GOLD Toffee Nut Latte Coffee,False,60.0,60.0,True,1.0,1.0,True,0.055,0.055,True,5500038401.0,3
23 g,23 g,True,Cappuccino Coffee Mix,NESCAFÉ GOLD Cappuccino Coffee,False,90.0,90.0,True,1.0,1.5,False,0.075,0.075,True,5500038402.0,2
80 ml,nan,False,Frozen Dessert Bars,"NESTLÉ COFFEE CRISP Frozen Dessert Bars, 5-Pack",False,190.0,,False,8.0,,False,0.05,,False,5500038527.0,0
125 ml,nan,False,Frozen Dessert,Oreo,False,140.0,,False,3.0,,False,0.065,,False,5500040360.0,0
,nan,False,Colombian Instant Coffee,"NESCAFÉ RICH Colombian, Instant Coffee",False,,,False,,,False,,,False,5500048925.0,0
15 g,15 g,True,Instant Coffee with Coffee Whitener & Sugar,Nestle Nescafé 1+2 Instant Coffee with Coffee Whitener And Sugar,False,70.0,70.0,True,2.0,2.5,False,0.075,0.07,False,5500050674.0,1
72 ml,nan,False,Ruby Cacao Ice Cream Bars,HÄAGEN-DAZS Ruby Cacao Ice Cream Bars,False,220.0,,False,8.0,,False,0.03,,False,5500060004.0,0
125 ml,None None,False,Vanilla Ice Cream,Haagen Dazs Vanilla Ice Cream - Pure Cream & Finest Vanilla,False,270.0,270.0,True,11.0,11.0,True,0.05,0.05,True,5500068181.0,3
18 g,18 g,True,Mocha Coffee Mix,"NESCAFÉ GOLD Mocha, Instant Coffee Sachets",False,70.0,70.0,True,15.0,1.5,False,0.06,0.06,True,5500069728.0,2
18 g,18.5 g,False,Vanilla Latte Flavoured Coffee Mix,"NESCAFÉ GOLD Vanilla Latte, Instant Coffee Sachets",False,70.0,80.0,False,2.0,1.5,False,0.095,0.075,False,5500069730.0,0
125 ml,125 ml,True,Frozen Dessert Sandwiches,Nestle Oreo Frozen Desert Sandwiches,False,250.0,240.0,False,2.0,3.0,False,0.23,0.27,False,5500075312.0,0
14 g,14 g,True,Cappuccino Flavoured Coffee Mix,"NESCAFÉ GOLD Cappuccino, Instant Coffee Sachets",False,50.0,50.0,True,1.0,1.0,True,0.05,0.05,True,5500089037.0,3
4.4 g,4.4 g,True,Beef Bouillon Cubes,Knorr Selects Beef Bouillon Cubes,False,15.0,15.0,True,0.0,0.5,False,0.65,0.65,True,5522000008.0,3
240 ml,nan,False,Peanut Punch,Grace Peanut Punch,False,200.0,,False,1.0,,False,0.14,,False,5527083195.0,0
10 g,8.5 g,False,Coconut Milk Powder,Grace Coconut Milk Powder,False,70.0,60.0,False,5.0,5.0,True,0.011,0.006,False,5527085124.0,1
14 g,14 g,True,Organic Virgin Coconut Oil,Grace Organic Virgin Coconut Oil,False,130.0,130.0,True,14.0,14.0,True,,,False,5527086017.0,2
15 g,nan,False,Pure Creamed Coconut,Grace Kennedy Grace Pure Coconut Cream,False,110.0,,False,10.0,,False,0.002,,False,5527087604.0,0
15 ml,15 ml,True,Sweetened Condensed Whitener,Grace Sweetened Condensed Whitener,False,50.0,50.0,True,1.0,1.0,True,0.015,165.0,False,5527095828.0,2
14 g,nan,False,Organic Coconut Oil,Omega Nutrition Premium Grade Coconut Oil,False,120.0,,False,13.0,,False,0.0,,False,5535835002.0,0
