serving_size_raw_mintel,serving_size_raw_loblaws,serving_size_raw_exact_match,name_mintel,name_loblaws,name_exact_match,calories_mintel,calories_loblaws,calories_exact_match,saturatedfat_mintel,saturatedfat_loblaws,saturatedfat_exact_match,sodium_mintel,sodium_loblaws,sodium_exact_match,upc_code,total_match_count
473 ml,,False,Hardcore Apple Caffeinated Energy Drink,Rockstar Xd Thermo Green Apple,False,10.0,,False,0.0,,False,0.045,,False,818094007900.0,0
99 g,52 g,False,Vegetable Samosas with Tamarind Sauce,Vegetable Samosas,False,190.0,100.0,False,0.0,0.0,True,0.4,0.26,False,818745001318.0,1
350 g,250 g,False,Butter Chicken,Butter Chicken,True,400.0,290.0,False,4.0,3.0,False,0.62,0.42,False,818745002117.0,1
95 g,50 g,False,Vegetable Pakoras with Tamarind Sauce,Vegetables Pakoras,False,160.0,70.0,False,0.0,0.0,True,0.4,0.3,False,818745003312.0,1
250 ml,250 ml,True,Organic Fresh Ginger Kombucha,Kombucha Ginger,False,32.0,35.0,False,0.0,0.0,True,0.0,0.0,True,818762000349.0,3
250 ml,250 ml,True,Organic Hibiscus & Rose Hips Kombucha,Kombucha Hibis Rose,False,24.0,35.0,False,0.0,0.0,True,0.0,0.0,True,818762000363.0,3
207 ml,207 ml,True,Kiwi & Pineapple Organic Sparkling Fermented Beverage,"Low Sugar Kombucha, Kiwi & Pineapple",False,4.0,4.0,True,0.0,0.0,True,0.0,0.0,True,818762001803.0,4
207 ml,207 ml,True,Mango & Papaya Organic Sparkling Fermented Beverage,"Low Sugar Kombucha, Mango & Papaya",False,4.0,4.0,True,0.0,0.0,True,0.0,0.0,True,818762001810.0,4
473 ml,236 ml,False,100% Pomegranate Blueberry Juice from Concentrate,100% Pomegranate & Blueberry Juice,False,300.0,150.0,False,,0.0,False,,0.0,False,824150704164.0,0
100 g,,False,Sweet Kale Chopped Kit,Sweet Kale Chopped Salad Kit,False,200.0,,False,2.0,,False,0.17,,False,824862006440.0,0
30 g,,False,Roasted Red Peppers,Savor Organic Roasted Red Peppers,False,5.0,,False,0.0,,False,0.0,,False,827683000574.0,0
15 g,,False,Whole Kalamata Olives,Savor Kalamata Olives Whole,False,25.0,,False,0.0,,False,0.15,,False,827683001175.0,0
40 g,40 g,True,Original Vegetable and Potato Snack,Veggie Chips,False,190.0,190.0,True,1.0,1.0,True,0.33,0.33,True,829515301378.0,4
